,Unnamed: 0.1,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,0,Sun,1.5813e-05,695700000.0,1.989e+30,3.7946234631306594e+41
1,1,1,Sirius,8.6,1460970000.0,3.4011899999999995e+30,5.28374212787636e+41
2,2,2,Canopus,310.0,10435500000.0,1.41219e+32,1.2752464585094435e+44
3,3,3,Alpha Centauri,4.4,765270000.0000001,2.3868e+30,4.967507079007408e+41
4,4,4,Arcturus,37.0,765270000.0000001,5.1714e+31,2.3319686009784774e+44
5,5,5,Vega,25.0,1530540000.0000002,5.3703e+30,1.2574002293737509e+42
6,6,6,Capella,43.0,1808820000.0,2.3868e+31,2.1016376103492888e+43
7,7,7,Rigel,860.0,16001100000.0,1.569321e+32,1.0270577360398094e+44
8,8,8,Procyon,11.4,1043550000.0,3.7791e+30,9.132393801267786e+41
9,9,9,Betelgeuse,640.0,13914000000.0,1.88955e+33,1.712323837737711e+46
10,10,10,Achernar,144.0,4661190000.0,1.8497700000000002e+31,4.898462437704041e+42
11,11,11,Hadar,390.0,7304850000.0,1.7105399999999998e+31,2.672860488887081e+42
12,12,12,Altair,17.0,1252260000.0,3.5802e+30,6.830322233635188e+41
13,13,13,Acrux,320.0,12522600000.0,1.7702100000000001e+31,1.6698451361921084e+42
14,14,14,Aldebaran,65.0,1043550000.0,8.7516e+31,4.897594016413973e+44
15,15,15,Antares,600.0,8348400000.0,1.35252e+33,1.462194907793014e+46
16,16,16,Spica,260.0,7951851000.0,1.4857829999999998e+31,1.852523223130425e+42
17,17,17,Pollux,34.0,1321830000.0,1.75032e+31,1.5466086367623066e+43
18,18,18,Fomalhaut,25.0,1321830000.0,3.5802e+30,6.470831589759652e+41
19,19,19,Deneb,2600.0,13218300000.0,4.03767e+32,8.230138857481649e+44
20,20,20,Mimosa,350.0,11131200000.0,1.6707600000000002e+31,1.673428947240621e+42
21,21,21,Regulus,77.0,2643660000.0,6.1659e+30,9.596403021233064e+41
22,22,22,Adhara,430.0,8696250000.0,2.7846e+31,5.949969590188875e+42
23,23,23,Shaula,700.0,10087650000.0,1.75032e+31,2.0265906274816432e+42
24,24,24,Castor,52.0,1947960000.0,4.7736e+30,7.806082552725929e+41
25,25,25,Gacrux,88.0,1043550000.0,1.67076e+32,1.7849908770566618e+45
26,26,26,Bellatrix,240.0,5983020000.0,1.1536200000000001e+31,1.4843155034850626e+42
27,27,27,Elnath,130.0,3478500000.0,8.353800000000001e+30,1.3387431577924968e+42
28,28,28,Miaplacidus,110.0,2434950000.0,1.3525199999999998e+31,5.013239683861761e+42
29,29,29,Alnilam,2000.0,22262400000.0,8.3538e+31,2.091786184050776e+43
30,30,30,Gamma Velorum,1100.0,6261300000.0,1.1934e+31,1.5178493852522638e+42
31,31,31,Alnair,101.0,2782800000.0,6.762599999999999e+30,1.0966461808447605e+42
32,32,32,Alioth,81.0,2017530000.0,8.353800000000001e+30,2.3081778582629252e+42
33,33,33,Alnitak,1050.0,22958100000.0,3.978e+31,4.599543591673526e+42
34,34,34,Dubhe,120.0,2956725000.0,5.967e+31,8.035673216041396e+43
35,35,35,Mirfak,590.0,5913450000.0,1.35252e+32,2.0642751639430784e+44
36,36,36,Wezen,1600.0,11826900000.0,3.977999999999999e+32,8.92852579560155e+44
37,37,37,Sargas,270.0,3965490000.0,5.1714e+31,4.500290282590043e+43
38,38,38,Kaus Australis,140.0,2434950000.0,1.3525199999999998e+31,5.013239683861761e+42
39,39,39,Avior,630.0,6261300000.0,2.5857e+32,7.125459614100906e+44
40,40,40,Alkaid,104.0,4243770000.0,6.762599999999999e+30,7.191122497342692e+41
41,41,41,Menkalinan,81.0,1662723000.0,5.50953e+30,1.2182329025211397e+42
42,42,42,Atria,390.0,4869900000.0,1.82988e+32,4.588241855991128e+44
43,43,43,Alhena,109.0,1947960000.0,6.563699999999999e+30,1.4758374826247452e+42
44,44,44,Peacock,180.0,4104630000.000001,9.5472e+30,1.481832620178481e+42
45,45,45,Alsephina[2],80.0,1669680000.0,5.768100000000001e+30,1.3296993052053687e+42
46,46,46,Mirzam,500.0,9391950000.0,1.989e+31,2.8108321949116e+42
47,47,47,Polaris,430.0,3756780000.000001,7.757099999999999e+31,1.068818942115135e+44
48,48,48,Alphard,180.0,2087100000.0,9.945e+31,3.16218621927555e+44
49,49,49,Scheat,196.0,1460970000.0,1.88955e+32,1.630784607369247e+45
50,50,50,Almaaz,653.0,10435500000.0,2.7846e+32,4.958307991824061e+44
51,51,51,Rasalgethi,360.0,1947960000.0,5.5692e+32,1.0624945696765848e+46
52,52,52,Tau Ceti,11.9,544733100.0,1.776177e+30,3.864647108620794e+41
53,53,53,Delta Pavonis,19.92,689438700.0,2.42658e+30,5.699210456633374e+41
54,54,54,Ran,10.48,570474000.0,1.4718600000000002e+30,2.534068059037011e+41
55,55,55,V382 Carinae,8900.0,13914000000.0,9.646650000000001e+32,4.4629515205745473e+45
56,56,56,Eta Carinae,7500.0,69570000000.0,1.7523089999999998e+33,2.9452387417669563e+45
57,57,57,Delta Cephei,887.0,3130650000.0,8.85105e+31,1.669845136192109e+44
58,58,58,Mu Cephei,6000.0,13357440000.0,1.933308e+33,1.8672393406200195e+46
59,59,59,Titawin,44.25,883539000.0,2.9437200000000004e+30,6.544679711528658e+41
60,60,60,Rho Cassiopeiae,8154.0,15305400000.0,1.5911999999999997e+33,1.1038904620016464e+46
61,61,61,P Cygni,5545.0,20871000000.0,1.51164e+32,7.305915041014229e+43
62,62,62,VV Cephei,4900.0,12661740000.0,1.49175e+33,1.1727888450609868e+46
63,63,63,61 Cygni,11.41,486990000.0,1.3226849999999998e+30,2.3972533728327952e+41
64,64,64,R Doradus,178.0,556560000.0,5.9272200000000004e+32,4.212221775248188e+46
65,65,65,Polaris Australis,281.0,1106163000.0,7.43886e+30,3.338218563074618e+42
66,66,66,R Coronae Borealis,4566.0,591345000.0,1.69065e+32,3.22542994366106e+45
67,67,67,54 Piscium,36.1,528732000.0,1.86966e+30,4.411749068450329e+41
68,68,68,Mira,300.0,834840000.0,7.359299999999999e+32,4.3290329341882265e+46
69,69,69,RW Cephei,14000.0,9670230000.0,2.303262e+33,3.66075788317521e+46
70,70,70,Lacaille 8760,12.87,417420000.0,1.0143900000000001e+30,1.644969271267141e+41
71,71,71,V838 Monocerotis,19896.0,347850000.0,8.950499999999999e+32,1.5368225025679171e+47
72,72,72,HD 140283,190.0,1391400000.0,2.7846000000000003e+30,3.7187309938680454e+41
73,73,73,II Pegasi,130.0,556560000.0,6.762599999999999e+30,5.483230904223801e+42
74,74,74,VY Canis Majoris,3900.0,11826900000.0,2.82438e+33,4.5008698535627416e+46
75,75,75,Pistol Star,25000.0,69570000000.0,6.3648e+32,3.8856944262457944e+44
76,76,76,S Doradus,169000.0,16696800000.0,7.5582e+32,2.2830984503169463e+45
77,77,77,UY Scuti,5100.0,4869900000.0,1.5016949999999998e+33,3.09004319938722e+46
78,78,78,Barnard's Star,5.98,97398000.0,3.978e+29,1.0841781323230457e+41
79,79,79,Luhman 16,6.52,27828000.0,3.978e+28,3.7946234631306605e+39
80,80,80,Proxima Centauri,4.25,83484000.0,2.9835e+29,7.114918993369987e+40
81,81,81,KIC 8462852,1470.0,994851000.0,3.1426200000000005e+30,6.624404205146419e+41
82,82,82,R136a1,163000.0,201753000000.0,6.3648e+31,1.3398946297399293e+42
83,83,83,Melnick 42,163000.0,131487300000.0,4.19679e+31,8.938647153547097e+41
84,84,84,WR 102,18134.0,13218300000.0,7.757100000000001e+29,3.037695940748281e+39
85,85,85,VFTS 352,164000.0,39988836000.0,2.878083e+31,1.3822576128591064e+42
86,86,86,YBP 1194,2772.0,702657000.0,1.9691100000000002e+30,3.682287580410257e+41
87,87,87,Gliese 1214,47.5,111312000.0,4.176899999999999e+29,1.0458930920253877e+41
88,88,88,NML Cygni,5251.0,34785000000.0,3.7791e+33,2.7397181403803363e+46
89,89,89,VB 10,18.72,52177500.0,1.989e+29,5.05949795084088e+40
90,90,90,WOH G64,163000.0,13914000000.0,3.1823999999999995e+33,4.857118032807246e+46
91,91,91,TRAPPIST-1,39.6,61917300.0,2.3868000000000002e+29,6.139615490908033e+40
92,92,92,2MASS J0523-1403,40.3,48699000.00000001,1.7105399999999996e+29,4.00929073333062e+40
93,93,93,WISE 0855−0714,7.27,2087100.0,1.7105399999999996e+29,9.35501171110478e+41
94,94,94,Icarus,14400000000.0,22958100000.0,3.978e+29,4.599543591673527e+38
95,95,95,SDSS J000013.54+255418.6 [de],46.1,31877129.8368,2.0235165093e+29,8.571472133789669e+40
96,96,96,2MASS J00040288-6410358,192.0,12618030.5604,3.3316483941e+29,5.870132086354009e+41
97,97,97,2MASS J00242463-0158201,37.7,52464442.856400006,2.2279121163e+29,6.313238122478642e+40
98,98,98,2MASS J00274197+0503417,236.0,20587313.0196,2.9432967408e+29,2.807951201813048e+41
99,99,99,2MASSW J0030300-145033,87.2,35861771.0664,2.0030769486e+29,7.465942783427177e+40
100,100,100,2MASS J00332386-1521309 [de],131.0,19259099.2764,2.9228571801e+29,2.9600588313879002e+41
101,101,101,2MASS J00345157+0523050,31.0,27892488.6072,1.9213187058e+29,8.83146358525113e+40
102,102,102,2MASS 0036+1821,28.6,27892488.6072,1.9213187058e+29,8.83146358525113e+40
103,103,103,2MASSW J0045214+163445,57.0,15274458.0468,3.3112088334e+29,4.789922192766689e+41
104,104,104,WISEP J004701.06+680352.1 [fr],40.0,7969282.4592,2.657142891e+29,5.911963230733411e+41
105,105,105,2MASS J00501994-3322402 [de],34.0,26564274.864,1.9213187058e+29,9.273036764513685e+40
106,106,106,2MASS J00584253-0651239 [de],96.0,19259099.2764,2.9228571801e+29,2.9600588313879002e+41
107,107,107,2MASSI J0103320+193536,70.0,34533557.323199995,2.0030769486e+29,7.753094428943606e+40
108,108,108,SDSSp J010752.33+004156.1 [de],51.0,34533557.323199995,2.0030769486e+29,7.753094428943606e+40
109,109,109,2MASSI J0117474-340325 [de],163.0,13282137.432,3.3112088334e+29,5.508410521681691e+41
110,110,110,2MASS J01415823-4633574 [de],130.0,13282137.432,3.2907692727e+29,5.440615345698488e+41
111,111,111,SDSS J015141.69+124429.6,70.0,31213022.9652,1.9826373879e+29,8.403725852393908e+40
112,112,112,SDSS J020742.48+000056.2 [de],111.0,31213022.9652,1.9826373879e+29,8.403725852393908e+40
113,113,113,2MASS J02103857-3015313,101.0,9961603.074,3.1272527871e+29,6.5511549002716414e+41
114,114,114,2MASS J02340093-6442068,155.0,13282137.432,3.3112088334e+29,5.508410521681691e+41
115,115,115,2MASS J02411151-0326587 [de],152.0,17930885.5332,2.8819780587e+29,3.0910122548378952e+41
116,116,116,2MASS J02431371−2453298,35.0,21915526.7628,2.0235165093e+29,1.2467595830966796e+41
117,117,117,LP 771-21,53.0,51800335.9848,2.2074725556e+29,6.277390907899363e+40
118,118,118,Teegarden's star,12.578,53128549.728,2.5958242089e+29,8.463377658150816e+40
119,119,119,2MASS J02535980+3206373,184.0,43166946.654,3.883516533e+29,2.3314178166169444e+41
120,120,120,WISE J0254+0223,24.0,43166946.654,3.883516533e+29,2.3314178166169444e+41
121,121,121,DEN 0255-4700,16.2,53128549.728,1.9826373879e+29,4.937188938281419e+40
122,122,122,2MASS J03185403-3421292 [de],45.0,32541236.7084,1.9826373879e+29,8.06071663392885e+40
123,123,123,2MASS J03205965+1854233,47.0,58441404.7008,2.3505494805e+29,6.308691263565036e+40
124,124,124,2MASS J03231002-4631237,192.0,15274458.0468,3.3929670762e+29,5.029381799416203e+41
125,125,125,SDSS J032553.17+042540.1,59.0,29884809.222000003,1.9417582665e+29,8.41900878222785e+40
126,126,126,2MASS J03264225-2102057 [de],80.0,11953923.6888,2.657142891e+29,3.941308820488941e+41
127,127,127,2MASS J03284265+2302051 [de],98.0,35861771.0664,2.0030769486e+29,7.465942783427177e+40
